hotel_link,hotel_name,review_score,total_review,hotel_type,hotel_price,hotel_city,facilities
https://www.google.com/maps/place/Grand+Islamabad+Hotel/data=!4m11!3m10!1s0x38dfbdc7578faafb:0xd8f618e9c9ef09c5!5m3!1s2024-06-26!4m1!1i2!8m2!3d33.6949757!4d72.9696759!16s%2Fg%2F11cs18jfj_!19sChIJ-6qPV8e93zgRxQnvyekY9tg?authuser=0&hl=en&rclk=1,Grand Islamabad Hotel,4.4,"2,956",4-star hotel,18.7K,Islamabad,"Free Wi-Fi, Free breakfast, Free parking, Air-conditioned, Laundry service, Room service, Kid-friendly, Restaurant, Airport shuttle"
https://www.google.com/maps/place/The+Margala/data=!4m11!3m10!1s0x38dfc0729873a253:0x22f97c8aca500c8d!5m3!1s2024-06-26!4m1!1i2!8m2!3d33.7081233!4d73.0986885!16s%2Fg%2F1tdk3k2v!19sChIJU6JzmHLA3zgRjQxQyop8-SI?authuser=0&hl=en&rclk=1,The Margala,4.2,"3,673",3-star hotel,22.1K,Islamabad,Free Wi-Fi  Free breakfast  Free parking   Air-conditioned  Laundry service  Business center  Room service Kid-friendly  Restaurant  Fitness center
https://www.google.com/maps/place/Avari+Xpress+Residences+Islamabad+Hotel/data=!4m11!3m10!1s0x38df9535462d68ff:0x17161debefdf1f0b!5m3!1s2024-06-26!4m1!1i2!8m2!3d33.6603858!4d73.0874292!16s%2Fg%2F11h8jktmzq!19sChIJ_2gtRjWV3zgRCx_f7-sdFhc?authuser=0&hl=en&rclk=1,Avari Xpress Residences Islamabad Hotel,4.6,"3,096",Hotel,22.9K,Islamabad,Wi-Fi  Free breakfast  Free parking  Air-conditioned  Laundry service  Room service  Restaurant  Airport shuttle
https://www.google.com/maps/place/Islamabad+Serena+Hotel/data=!4m11!3m10!1s0x38dfc06e546426cf:0xf7b69122d3396404!5m3!1s2024-06-26!4m1!1i2!8m2!3d33.715434!4d73.101882!16s%2Fg%2F11dxjxg_th!19sChIJzyZkVG7A3zgRBGQ50yKRtvc?authuser=0&hl=en&rclk=1,Islamabad Serena Hotel,4.6,"37,757",5-star hotel,69.7K,Islamabad,Free Wi-Fi  Free breakfast  Free parking  Outdoor  pool  Air-conditioned  Laundry service  Room service  Kid-friendly  Restaurant  Airport shuttle  Hot tub  Spa  Fitness center  Bar  Smoke-free
https://www.google.com/maps/place/The+Gateway+Islamabad/data=!4m11!3m10!1s0x38df97f8d8146a6f:0xda5bf13ada1ff486!5m3!1s2024-06-26!4m1!1i2!8m2!3d33.6413253!4d72.9548454!16s%2Fg%2F11tcrbxh7_!19sChIJb2oU2PiX3zgRhvQf2jrxW9o?authuser=0&hl=en&rclk=1,The Gateway Islamabad,4.6,142,Guest house,"7,019",Islamabad,Free Wi-Fi
https://www.google.com/maps/place/Avari+Towers+Karachi/data=!4m11!3m10!1s0x3eb33e77aed73695:0x4bb2623c8dc1a886!5m3!1s2024-06-26!4m1!1i2!8m2!3d24.8527202!4d67.0322979!16s%2Fm%2F02q4f3n!19sChIJlTbXrnc-sz4RhqjBjTxisks?authuser=0&hl=en&rclk=1,Avari Towers Karachi,4.7,"25,667",5-star hotel,29.3K,Karachi,Wi-Fi  Free breakfast  Free parking   Pool  Air-conditioned  Laundry service  Business center  Room service  Kid-friendly  Restaurant  Airport shuttle  Hot tub  Spa  Fitness center
https://www.google.com/maps/place/Beach+Luxury+Hotel/data=!4m11!3m10!1s0x3eb315fe31be0eb5:0x2cc076f60db218a6!5m3!1s2024-06-26!4m1!1i2!8m2!3d24.8433918!4d66.9955496!16s%2Fm%2F02q51m6!19sChIJtQ6-Mf4Vsz4RphiyDfZ2wCw?authuser=0&hl=en&rclk=1,Beach Luxury Hotel,4.5,"15,479",3-star hotel,18.9K,Karachi, Wi-Fi  Free breakfast  Free parking  Accessible  Outdoor  pool  Air-conditioned  Laundry service  Business center  Room service  Kid-friendly  Restaurant  Airport shuttle  Fitness center
https://www.google.com/maps/place/Pearl-Continental+Hotel+Karachi/data=!4m11!3m10!1s0x3eb33ddfa27f7849:0xc2fbc4a56857f36a!5m3!1s2024-06-26!4m1!1i2!8m2!3d24.8474816!4d67.0253661!16s%2Fg%2F1tx45hyj!19sChIJSXh_ot89sz4RavNXaKXE-8I?authuser=0&hl=en&rclk=1,Pearl-Continental Hotel Karachi,4.4,"22,541",5-star hotel,37K,Karachi,Free Wi-Fi  Free breakfast  Free parking  Accessible  Indoor  pool  Air-conditioned  Laundry service  Business center  Room service  Kid-friendly  Restaurant  Kitchens in some rooms  Airport shuttle  Hot tub  Spa  Fitness  center Bar  Smoke-free
https://www.google.com/maps/place/Karachi+Marriott+Hotel/data=!4m11!3m10!1s0x3eb33dd90ea19bf5:0x133db36e9fb69b49!5m3!1s2024-06-26!4m1!1i2!8m2!3d24.8454635!4d67.0315843!16s%2Fg%2F1tctq439!19sChIJ9ZuhDtk9sz4RSZu2n26zPRM?authuser=0&hl=en&rclk=1,Karachi Marriott Hotel,4.4,"17,472",5-star hotel,43.7K,Karachi,Free Wi-Fi  Paid breakfast  Paid parking  Accessible  Air-conditioned  Laundry service  Business center  Room service  Kid-friendly  Restaurant  Airport shuttle  Spa  Fitness center  Smoke-free
https://www.google.com/maps/place/Luxus+Grand+Hotel/data=!4m11!3m10!1s0x39191b4b4b78e171:0xcc403b26a54467e!5m3!1s2024-06-26!4m1!1i2!8m2!3d31.5616079!4d74.3305784!16s%2Fg%2F11b6xbg9ls!19sChIJceF4S0sbGTkRfkZUarIDxAw?authuser=0&hl=en&rclk=1,Luxus Grand Hotel,4.4,"6,298",5-star hotel,17.1K,Lahore,Free Wi-Fi  Free breakfast  Free parking  Accessible  Indoor pool  Air-conditioned  Laundry service  Business center  Room service  Kid-friendly  Restaurant  Airport shuttle  Fitness center
