reviewer_name,review_time,review,hotel_name
Muhammad Bilal Aqeel,a year ago,Food is very average. I don't have good experience about this because there was dead bee in my rice.,Citi Hotel and Restaurant
Arslan Nadeem,a year ago,Room are really comfortable neat n clean  atmosphere,Citi Hotel and Restaurant
Babar Jamil Rajput,11 months ago,"Citi Hotel, the oldest hotel in Sheikhupura.  cooperative staff and excellent service are there. delightful soop and Chicken Manchurian particularly my favirout dishes. Overall, Citi Hotel provides a welcoming atmosphere, making it a great choice for families seeking a comfortable and enjoyable stay.",Citi Hotel and Restaurant
Shahziab Shahziab,a week ago,nice and Good ,Citi Hotel and Restaurant
Ayaz Shabbir Advocate,a month ago,I like this hotel for delicious and spicy dishes. Seating is beautiful and relax. ❤️,Citi Hotel and Restaurant
Umair Ali,3 months ago,Very competent place,Citi Hotel and Restaurant
Rana Tayab,a week ago,Nice,Citi Hotel and Restaurant
Mansoor Elahi Choudhery,a year ago,"Tight atmosphere good food
Less parking",Citi Hotel and Restaurant
Mubasher bhatti,a week ago,Nice hotel,Citi Hotel and Restaurant
Mian Usman Ali,a year ago,Tried their Special Soup and it was good,Citi Hotel and Restaurant
Muhammad Rashid Ali,a year ago,tasty food specially mutton chanp,Citi Hotel and Restaurant
Hafiz Qaisar,a year ago,Bohat acha food and enviroment,Citi Hotel and Restaurant
Asad Rauf,a year ago,Best taste in town,Citi Hotel and Restaurant
Aamer Akhlaq,a year ago,Food was un tasteless,Citi Hotel and Restaurant
khalid wasee,a year ago,"Bakery items
Fast food",Citi Hotel and Restaurant
Rana Hashir Afzal Khan,a year ago,Not bad,Citi Hotel and Restaurant
Haji saeed,a year ago,Nice,Citi Hotel and Restaurant
Ahsan Khan,a year ago,Good experience,Citi Hotel and Restaurant
Amjad Bhatti,a year ago,Good restaurant,Citi Hotel and Restaurant
M-Ejaz Ansari,4 months ago,Beautiful but expensive,Citi Hotel and Restaurant
Anita Yousaf,a month ago on,It was pathetic service on eid day at restaurant i was keep asking them for refill salad they said ok we will after 30 min they said its finished n food was also very bad In steak it has too much salt in white sauce i asked the guy who took …,Sultan Grand Hotel & Restaurant
Hassnain Haider,2 months ago on,We went for Iftaar Buffet with Office colleagues it was a really great experience i had. Their food is so great and the variety of food is also available.,Sultan Grand Hotel & Restaurant
Wali Mujeeb,7 months ago on,"I had many Family Gatherings as well as many Friends gathering there. Their Service is Top Notch and Food Quality is good. I'd rate Food Taste 7/10 but the sitting and their cooperation is good. And there's a fun room for kids as well so that you do not need to worry about your kids' mumblings...
Recommended!!",Sultan Grand Hotel & Restaurant
shahid munawar,a month ago on,I tried their speciality walnut sweet (burfi) it was excellent in taste. They should open a sale point in Lahore also.,Sultan Grand Hotel & Restaurant
Shaybi Mughal,2 months ago on,"one of the best cafe of sheikhupura
love its ambiance and service
you should try their pizza  and burger so good
excellent presentation",Sultan Grand Hotel & Restaurant
Rehman Iqbal,5 months ago on,"They don't have an idea how to cook except mutton karahi. Order soup, fried rice with munchorion karahi and some other stuff. Found stone in rice. Staff was careless.",Sultan Grand Hotel & Restaurant
Luqman Cheema,7 months ago on,We have ordered desi chicken karahi and kabab. Desi chicken karahi was not tasty at all. Food cooking is not as I thought it would be. Building and environment is cool. Staff was untrained. Needs improvements,Sultan Grand Hotel & Restaurant
Wajahat Khan,3 months ago on,You wont find any better place to stay in Sheikhupura. Great rooms and friendly staff and good food!,Sultan Grand Hotel & Restaurant
rizwan ali,8 months ago on,After JC meeting with colleges of company in Sheikhupura decide to lunch at Sultan Grand hotel . Location was very good and atmosphere of resturent was very freindly and professional staff …,Sultan Grand Hotel & Restaurant
Muhammad Ahsan Ali Khan,2 months ago on,Good place with good food taste and bakery items,Sultan Grand Hotel & Restaurant
Shahziab Shahziab,a week ago on,"Good 😊
Nice 🙂
Very nice place 😊 …",Sultan Grand Hotel & Restaurant
Mudassar,3 months ago on,Location and sitting are good but meal is average,Sultan Grand Hotel & Restaurant
Nabeel Ashfaq,6 months ago on,"Food taste has gone done very drastically, bland rice, taste less chicken , soup was okish,",Sultan Grand Hotel & Restaurant
Mustajab Haider,10 months ago on,I am visited Restaurant with family just not hotel so I recommended to go with family and friend if you want to taste food and service in Sheikhupura City. Kids play area also very wide and in good condition.,Sultan Grand Hotel & Restaurant
DR MUHAMMAD UMER ARIF,9 months ago on,"a good place for desi food in sheikhupura.
its just besides kfc on enterance known is bati chowk.
the sitting area is good as well as the walls are well decorated , good place for fans of desi food.",Sultan Grand Hotel & Restaurant
Shumail Zaffar,7 months ago on,A good restaurant with a nice environment and parking area is also neat and clean and security is also good,Sultan Grand Hotel & Restaurant
Nasir Abbas,3 months ago on,One of the best place to dinne in  sheikhupura,Sultan Grand Hotel & Restaurant
Adil Cheema,4 months ago on,Great stuff...and well manners.,Sultan Grand Hotel & Restaurant
mian usman,6 months ago on,Sultan grand hotel is nice but need neat and clean room is goog made,Sultan Grand Hotel & Restaurant
M akram,2 months ago on,Food quality is best in sheikhupura,Sultan Grand Hotel & Restaurant
Ali Ihtsham,8 months ago on,It's ok but sometimes when you call them to reserve the table they said ok sir we reserved the table for you. And then when you reach there they said there's no table reserved for you,Sultan Grand Hotel & Restaurant
Faheem,6 months ago on,Soup was not good at all 👎they only take cash 👎 …,Sultan Grand Hotel & Restaurant
Mian Usama,4 months ago on,Worst experience ever.Bad taste .,Sultan Grand Hotel & Restaurant
Usman Ali Qureshi,7 months ago on,Excellent food but need to improve service.,Sultan Grand Hotel & Restaurant
Remix Files,4 months ago on,Good but price is high,Sultan Grand Hotel & Restaurant
abrar baig,2 months ago on,Mouth watering and fresh products.,Sultan Grand Hotel & Restaurant
Muhammad Usman Rouf,10 months ago on,"Location: The hotel is conveniently located in a prime area with easy access to popular attractions, shopping centers, and transportation hubs.",Sultan Grand Hotel & Restaurant
Gulzar Ahmed Siddiqui,8 months ago on,"Had lunch there with some of the company friends, plates 🍽️ were not hygienically cleaned. …",Sultan Grand Hotel & Restaurant
Dialfor Help,5 months ago on,Good room good service and good location,Sultan Grand Hotel & Restaurant
Yasir Saleem,10 months ago on,"Hotel is decent, Restaurant is good, and the Bakery is brilliant, one of the best bakeries specially sweets i tried.",Sultan Grand Hotel & Restaurant
jaleed ahmad,6 months ago on,Food Quality is compromised here,Sultan Grand Hotel & Restaurant
rizwan sakhawat,3 months ago on,"Good
Nice",Sultan Grand Hotel & Restaurant
Arshad Mughal,a year ago,"Visited after checking the reviews history, found some glitches as on weekend it found empty, no visitor is there anyhow it is variable. But the limited menu is one the big drawback to show less visiting peoples. …",Taj Mahal Restaurant & Hotel
Rana Maaz,a year ago,"The worst Restaurant Ever of my life
Very taste less unhealthy Food they have I don't understand how a restaurant can give u such a tasteless old food with confidence …",Taj Mahal Restaurant & Hotel
Rafat Malik,a year ago,"Not a good experience, stayed there for three days, worst place to stay, nothing was working in bathroom, bedsheets were not cleaned. They have menu but nothing is available as per menu. Poorest service. only decent staying option in Sheikhupura is grand sultan hotel. No backup for load shedding",Taj Mahal Restaurant & Hotel
Khalid Muhammad,6 months ago,"A very nice addition in Sheikhupura,
Management is very good especially Mr. Aqib is managing it very well .
I still loved that halwa prepared by Taj Mahal.",Taj Mahal Restaurant & Hotel
Nujba Zaidi,a month ago,Worst experience even the manger is illiterate he doesn't know how to speak poor service,Taj Mahal Restaurant & Hotel
SyeD BaDshah,a week ago,Good Nice Place ,Taj Mahal Restaurant & Hotel
Asher Gill,3 months ago,It's a nice place for traditional foods,Taj Mahal Restaurant & Hotel
Abbas Omar,2 weeks ago,Not a good experience.,Taj Mahal Restaurant & Hotel
zeeshan jutt28,a month ago,V good,Taj Mahal Restaurant & Hotel
Muhammad Naveed Malik,a year ago,"Worst ever experience of staying at Taj Mahal, unprofessional people with unhygienic conditions. Too much expensive rooms with almost no facility.
Only making money of the reason that very less restaurants are available in the vicinity for spending night somewhere in Sheikhupura....",Taj Mahal Restaurant & Hotel
Mansoor Elahi Choudhery,a year ago,Tight atmosphere.... Less parking average quality of food...,Taj Mahal Restaurant & Hotel
Saleem Akram,a year ago,Taste was normal and their service is not up to the mark,Taj Mahal Restaurant & Hotel
Umar 2070,a year ago,Taste is so good. Peaceful place for family,Taj Mahal Restaurant & Hotel
Ali Muhammad,a month ago,Good,Taj Mahal Restaurant & Hotel
Farhan Abid,a month ago,Nice,Taj Mahal Restaurant & Hotel
Tariq Rasheed,2 months ago,Great,Taj Mahal Restaurant & Hotel
Zafar Hussain,2 months ago,Awesome,Taj Mahal Restaurant & Hotel
TheAdimondo,2 months ago on,Stayed 5 nights there. It was by far the best and charming accommodation during my Pakistan trip. Courteous staff keen to serve and satisfy the guest. Efficient concierge service. Appreciate the free return airport transfer. Room and bath …,Faletti hotel lahore
Omer Ahmad,a month ago on,"Please note, this review is about the marriage halls at this establishment.

Recently organized a wedding at the Crystal Hall. …",Faletti hotel lahore
